District,U/R,CPN,Discp.
KAMBAR,R,72.002,BM
KAMBAR,R,71.645,ME-K
KAMBAR,R,71.562,ES-K
KAMBAR,R,71.512,ME-K
KAMBAR,R,71.365,ME-K
KAMBAR,R,71.355,SW-K
KAMBAR,R,71.304,TE
KAMBAR,R,70.834,ES-K
KAMBAR,R,70.499,AR
KAMBAR,R,70.063,PG-K
KAMBAR,R,70.0,MN
KAMBAR,R,69.796,SW-K
KAMBAR,R,69.065,TE
KAMBAR,R,69.04899999999999,CRP
KAMBAR,R,68.78,CRP
KAMBAR,R,68.715,PG-K
KARACHI,U,81.205,ME-K
KARACHI,U,78.653,SW
KARACHI,U,76.757,ES
KARACHI,U,76.479,SW
KARACHI,U,75.641,CH
KARACHI,U,73.904,CH
KARACHI,U,72.589,ES
KARACHI,U,71.52600000000001,TL
KARACHI,U,70.702,BM
KARACHI,U,70.358,IN
KARACHI,U,70.104,CE-K
KARACHI,U,69.063,TL
KARACHI,U,68.73100000000001,AR
KARACHI,U,68.336,TE
KARACHI,U,67.96600000000001,CS
KARACHI,U,67.943,IN
KARACHI,U,67.525,SW-K
KARACHI,U,67.42399999999999,IN
KARACHI,U,67.161,TE
KARACHI,U,67.14699999999999,MT
KARACHI,U,66.982,PG-K
KARACHI,U,66.936,MN
KARACHI,U,66.652,MT
KARACHI,U,66.57,MN
KASHMORE,U,76.38600000000001,EL-K
KASHMORE,U,69.46300000000001,BM
KASHMORE,U,67.317,SW-K
KASHMORE,U,64.811,CRP
KASHMORE,R,86.042,ME
KASHMORE,R,81.882,EL
KASHMORE,R,79.352,CE-K
KASHMORE,R,76.758,CE-K
KASHMORE,R,74.829,ES
KASHMORE,R,74.69,EL-K
KASHMORE,R,74.104,ME-K
KASHMORE,R,73.665,PG
KASHMORE,R,73.553,ES-K
KASHMORE,R,73.32600000000001,SW
KASHMORE,R,73.125,ES-K
KASHMORE,R,73.04899999999999,SW
KASHMORE,R,72.372,PG-K
KASHMORE,R,71.98899999999999,MT
KASHMORE,R,70.297,IN
KASHMORE,R,69.938,CS
KASHMORE,R,69.694,AR
KASHMORE,R,69.439,TL
KASHMORE,R,68.744,MN
KASHMORE,R,67.863,TE
KHAIRPUR,U,79.516,EL
KHAIRPUR,U,76.862,ES
KHAIRPUR,U,74.508,SW
KHAIRPUR,U,74.10600000000001,MN
KHAIRPUR,U,73.123,IN
KHAIRPUR,U,72.734,SW-K
KHAIRPUR,U,72.561,SW-K
KHAIRPUR,U,72.38600000000001,ES-K
KHAIRPUR,U,72.184,ES-K
KHAIRPUR,U,72.054,SW-K
KHAIRPUR,U,71.97399999999999,SW-K
KHAIRPUR,R,82.005,CE
KHAIRPUR,R,80.26899999999999,CE
KHAIRPUR,R,80.03699999999999,EL
KHAIRPUR,R,78.971,ME
KHAIRPUR,R,78.956,CE-K
KHAIRPUR,R,78.829,ME
KHAIRPUR,R,78.083,CE-K
KHAIRPUR,R,77.797,IN
KHAIRPUR,R,77.753,CH
KHAIRPUR,R,77.51100000000001,CE-K
KHAIRPUR,R,77.421,ES
KHAIRPUR,R,77.301,CE-K
KHAIRPUR,R,77.273,SW
KHAIRPUR,R,76.563,ES
KHAIRPUR,R,75.888,CH
KHAIRPUR,R,75.884,CH
KHAIRPUR,R,75.61399999999999,EL-K
KHAIRPUR,R,75.525,PG
KHAIRPUR,R,75.458,CE-K
KHAIRPUR,R,75.391,CE-K
KHAIRPUR,R,75.373,SW
KHAIRPUR,R,75.34,CS
KHAIRPUR,R,75.222,EL-K
KHAIRPUR,R,75.141,EL-K
KHAIRPUR,R,74.805,SW
KHAIRPUR,R,74.794,EL-K
KHAIRPUR,R,74.587,PG
KHAIRPUR,R,74.53,ME-K
