District,U/R,CPN,Discp.
Larkana,U,74.360,ME-K
Larkana,U,74.103,ME-K
Larkana,U,72.472,SW-K
Larkana,R,82.111,CE-K
Larkana,R,81.921,ME
Larkana,R,81.402,ES
Larkana,R,79.202,ES
Larkana,R,78.669,CE-K
Larkana,R,78.358,CH
Larkana,R,77.768,SW
Larkana,R,77.255,MTE
Larkana,R,76.791,EL-K
Larkana,R,76.269,CH
Larkana,R,76.148,PG
Larkana,R,76.082,ME-K
Larkana,R,75.595,TL
Larkana,R,74.642,EL-K
Larkana,R,73.627,ES-K
Larkana,R,73.544,ES-K
Larkana,R,72.281,MN
Larkana,R,72.072,TL
Larkana,R,70.910,IN
Larkana,R,70.778,CRP
Larkana,R,70.705,IN
Larkana,R,70.612,AR
Larkana,R,70.507,BM
Larkana,R,70.488,AR
Larkana,R,70.337,PG-K
Larkana,R,70.289,PG-K
Larkana,R,70.153,CRP
Larkana,R,69.775,MT
Larkana,R,69.684,TE
Larkana,R,69.270,SW-K
Larkana,R,69.219,TE
Larkana,R,69.097,MN
Matiari,U,77.960,CE
Matiari,U,77.402,ME
Matiari,R,79.224,CE
Matiari,R,77.839,BM
Matiari,R,77.490,EL-P
Matiari,R,74.309,ME-P
Matiari,R,74.167,BM
Matiari,R,73.134,EL
Matiari,R,72.719,EL
Matiari,R,72.449,PG
Matiari,R,72.093,ES
Matiari,R,71.986,ES
Matiari,R,71.381,SW
Matiari,R,71.233,SW
Matiari,R,70.910,AR
Matiari,R,70.673,CS
Matiari,R,68.983,MTE
Matiari,R,68.228,IN
Matiari,R,67.993,CS-P
Matiari,R,67.695,AR
Matiari,R,66.373,ME-K
Matiari,R,66.170,CH
Matiari,R,65.678,TL
Matiari,R,65.627,MT
Matiari,R,65.566,IN
Matiari,R,65.565,TL
Matiari,R,64.673,CRP
Matiari,R,64.667,SW-K-P
Matiari,R,64.435,EE
Matiari,R,62.970,TE-P
Matiari,R,62.667,MN
Matiari,R,62.637,MN-P
Matiari,R,62.412,TE-P
Matiari,R,62.048,PG-K
Mirpurkhas,U,77.308,ME
Mirpurkhas,U,76.914,ME
Mirpurkhas,U,76.764,EL
Mirpurkhas,U,73.176,SW
Mirpurkhas,U,72.955,EL
Mirpurkhas,U,72.037,CS
Mirpurkhas,U,71.279,ME
Mirpurkhas,U,70.955,CS
Mirpurkhas,U,70.851,ES
Mirpurkhas,U,70.466,CS
